Mod:Item:MetaData, Localized Name
minecraft:gold_nugget, Gold Nugget
minecraft:nether_wart, Nether Wart
minecraft:potion:0, Water Bottle
minecraft:potion:8193, Potion of Regeneration
minecraft:potion:8225, Potion of Regeneration
minecraft:potion:8257, Potion of Regeneration
minecraft:potion:16385, Splash Potion of Regeneration
minecraft:potion:16417, Splash Potion of Regeneration
minecraft:potion:16449, Splash Potion of Regeneration
minecraft:potion:8194, Potion of Swiftness
minecraft:potion:8226, Potion of Swiftness
minecraft:potion:8258, Potion of Swiftness
minecraft:potion:16386, Splash Potion of Swiftness
minecraft:potion:16418, Splash Potion of Swiftness
minecraft:potion:16450, Splash Potion of Swiftness
minecraft:potion:8227, Potion of Fire Resistance
minecraft:potion:8259, Potion of Fire Resistance
minecraft:potion:16419, Splash Potion of Fire Resistance
minecraft:potion:16451, Splash Potion of Fire Resistance
minecraft:potion:8196, Potion of Poison
minecraft:potion:8228, Potion of Poison
minecraft:potion:8260, Potion of Poison
minecraft:potion:16388, Splash Potion of Poison
minecraft:potion:16420, Splash Potion of Poison
minecraft:potion:16452, Splash Potion of Poison
minecraft:potion:8261, Potion of Healing
minecraft:potion:8229, Potion of Healing
minecraft:potion:16453, Splash Potion of Healing
minecraft:potion:16421, Splash Potion of Healing
minecraft:potion:8230, Potion of Night Vision
minecraft:potion:8262, Potion of Night Vision
minecraft:potion:16422, Splash Potion of Night Vision
minecraft:potion:16454, Splash Potion of Night Vision
minecraft:potion:8232, Potion of Weakness
minecraft:potion:8264, Potion of Weakness
minecraft:potion:16424, Splash Potion of Weakness
minecraft:potion:16456, Splash Potion of Weakness
minecraft:potion:8201, Potion of Strength
minecraft:potion:8233, Potion of Strength
minecraft:potion:8265, Potion of Strength
minecraft:potion:16393, Splash Potion of Strength
minecraft:potion:16425, Splash Potion of Strength
minecraft:potion:16457, Splash Potion of Strength
minecraft:potion:8234, Potion of Slowness
minecraft:potion:8266, Potion of Slowness
minecraft:potion:16426, Splash Potion of Slowness
minecraft:potion:16458, Splash Potion of Slowness
minecraft:potion:8268, Potion of Harming
minecraft:potion:8236, Potion of Harming
minecraft:potion:16460, Splash Potion of Harming
minecraft:potion:16428, Splash Potion of Harming
minecraft:potion:8237, Potion of Water Breathing
minecraft:potion:8269, Potion of Water Breathing
minecraft:potion:16429, Splash Potion of Water Breathing
minecraft:potion:16461, Splash Potion of Water Breathing
minecraft:potion:8238, Potion of Invisibility
minecraft:potion:8270, Potion of Invisibility
minecraft:potion:16430, Splash Potion of Invisibility
minecraft:potion:16462, Splash Potion of Invisibility
minecraft:glass_bottle, Glass Bottle
minecraft:spider_eye, Spider Eye
minecraft:fermented_spider_eye, Fermented Spider Eye
minecraft:blaze_powder, Blaze Powder
minecraft:magma_cream, Magma Cream
minecraft:brewing_stand, Brewing Stand
minecraft:cauldron, Cauldron
minecraft:ender_eye, Eye of Ender
minecraft:speckled_melon, Glistering Melon
minecraft:spawn_egg:50, Spawn Creeper
minecraft:spawn_egg:51, Spawn Skeleton
minecraft:spawn_egg:52, Spawn Spider
minecraft:spawn_egg:54, Spawn Zombie
minecraft:spawn_egg:55, Spawn Slime
minecraft:spawn_egg:56, Spawn Ghast
minecraft:spawn_egg:57, Spawn Zombie Pigman
minecraft:spawn_egg:58, Spawn Enderman
minecraft:spawn_egg:59, Spawn Cave Spider
minecraft:spawn_egg:60, Spawn Silverfish
minecraft:spawn_egg:61, Spawn Blaze
minecraft:spawn_egg:62, Spawn Magma Cube
minecraft:spawn_egg:65, Spawn Bat
minecraft:spawn_egg:66, Spawn Witch
minecraft:spawn_egg:90, Spawn Pig
minecraft:spawn_egg:91, Spawn Sheep
minecraft:spawn_egg:92, Spawn Cow
minecraft:spawn_egg:93, Spawn Chicken
minecraft:spawn_egg:94, Spawn Squid
minecraft:spawn_egg:95, Spawn Wolf
minecraft:spawn_egg:96, Spawn Mooshroom
minecraft:spawn_egg:98, Spawn Ocelot
minecraft:spawn_egg:100, Spawn Horse
minecraft:spawn_egg:120, Spawn Villager
minecraft:experience_bottle, Bottle o' Enchanting
minecraft:fire_charge, Fire Charge
minecraft:writable_book, Book and Quill
minecraft:written_book, Written Book
minecraft:emerald, Emerald
minecraft:item_frame, Item Frame
minecraft:flower_pot, Flower Pot
minecraft:carrot, Carrot
minecraft:potato, Potato
minecraft:baked_potato, Baked Potato
minecraft:poisonous_potato, Poisonous Potato
minecraft:map, Empty Map
minecraft:golden_carrot, Golden Carrot
minecraft:skull:0, Skeleton Skull
minecraft:skull:1, Wither Skeleton Skull
minecraft:skull:2, Zombie Head
minecraft:skull:3, Head
minecraft:skull:4, Creeper Head
minecraft:carrot_on_a_stick, Carrot on a Stick
minecraft:nether_star, Nether Star
minecraft:pumpkin_pie, Pumpkin Pie
minecraft:fireworks, Firework Rocket
minecraft:firework_charge, Firework Star
minecraft:enchanted_book, Enchanted Book
minecraft:comparator, Redstone Comparator
minecraft:netherbrick, Nether Brick
minecraft:quartz, Nether Quartz
minecraft:tnt_minecart, Minecart with TNT
minecraft:hopper_minecart, Minecart with Hopper
appliedenergistics2:tile.BlockCraftingStorage:0, 1k Crafting Storage
appliedenergistics2:tile.BlockCraftingStorage:1, 4k Crafting Storage
appliedenergistics2:tile.BlockCraftingStorage:2, 16k Crafting Storage
appliedenergistics2:tile.BlockCraftingStorage:3, 64k Crafting Storage
appliedenergistics2:tile.BlockCraftingMonitor:0, Crafting Monitor
appliedenergistics2:tile.BlockMolecularAssembler, Molecular Assembler
appliedenergistics2:tile.BlockLightDetector, Light Detecting Fixture
appliedenergistics2:tile.BlockPaint, tile.appliedenergistics2.BlockPaint.name
appliedenergistics2:tile.SkyStoneStairBlock, Sky Stone Stairs
appliedenergistics2:tile.SkyStoneBlockStairBlock, Sky Stone Block Stairs
appliedenergistics2:tile.SkyStoneBrickStairBlock, Sky Stone Brick Stairs
minecraft:iron_horse_armor, Iron Horse Armor
minecraft:golden_horse_armor, Gold Horse Armor
minecraft:diamond_horse_armor, Diamond Horse Armor
minecraft:lead, Lead
minecraft:name_tag, Name Tag
minecraft:command_block_minecart, Minecart with Command Block
appliedenergistics2:tile.SkyStoneSmallBrickStairBlock, Sky Stone Small Brick Stairs
appliedenergistics2:tile.FluixStairBlock, Fluix Stairs
appliedenergistics2:tile.QuartzStairBlock, Certus Quartz Stairs
appliedenergistics2:tile.ChiseledQuartzStairBlock, Chiseled Certus Quartz Stairs
appliedenergistics2:tile.QuartzPillarStairBlock, Certus Quartz Pillar Stairs
appliedenergistics2:tile.SkyStoneSlabBlock:0, Sky Stone Slabs
appliedenergistics2:tile.SkyStoneSlabBlock.double:0, Sky Stone Slabs
appliedenergistics2:tile.SkyStoneBlockSlabBlock:0, Sky Stone Block Slabs
appliedenergistics2:tile.SkyStoneBlockSlabBlock.double:0, Sky Stone Block Slabs
appliedenergistics2:tile.SkyStoneBrickSlabBlock:0, Sky Stone Brick Slabs
appliedenergistics2:tile.SkyStoneBrickSlabBlock.double:0, Sky Stone Brick Slabs
appliedenergistics2:tile.SkyStoneSmallBrickSlabBlock:0, Sky Stone Small Brick Slabs
appliedenergistics2:tile.SkyStoneSmallBrickSlabBlock.double:0, Sky Stone Small Brick Slabs
appliedenergistics2:tile.FluixSlabBlock:0, Fluix Slabs
appliedenergistics2:tile.FluixSlabBlock.double:0, Fluix Slabs
appliedenergistics2:tile.QuartzSlabBlock:0, Certus Quartz Slabs
appliedenergistics2:tile.QuartzSlabBlock.double:0, Certus Quartz Slabs
appliedenergistics2:tile.ChiseledQuartzSlabBlock:0, Chiseled Certus Quartz Slabs
appliedenergistics2:tile.ChiseledQuartzSlabBlock.double:0, Chiseled Certus Quartz Slabs
appliedenergistics2:tile.QuartzPillarSlabBlock:0, Certus Quartz Pillar Slabs
appliedenergistics2:tile.QuartzPillarSlabBlock.double:0, Certus Quartz Pillar Slabs
BuildCraft|Core:eternalSpring:0, Water Spring
BuildCraft|Core:eternalSpring:1, Oil Spring
BuildCraft|Core:buildToolBlock, tile.buildToolBlock.name
BuildCraft|Core:engineBlock:0, Redstone Engine
BuildCraft|Core:engineBlock:1, Stirling Engine
BuildCraft|Core:engineBlock:2, Combustion Engine
BuildCraft|Core:engineBlock:3, Creative Engine
BuildCraft|Silicon:laserBlock, Laser
BuildCraft|Silicon:laserTableBlock:0, Assembly Table
BuildCraft|Silicon:laserTableBlock:1, Advanced Crafting Table
BuildCraft|Silicon:laserTableBlock:2, Integration Table
BuildCraft|Silicon:laserTableBlock:3, Charging Table
BuildCraft|Silicon:laserTableBlock:4, Programming Table
BuildCraft|Silicon:laserTableBlock:5, Stamping Table
BuildCraft|Silicon:packagerBlock, Recipe Packager
BuildCraft|Transport:filteredBufferBlock, Filtered Buffer
BuildCraft|Transport:pipeBlock, tile.pipeBlock.name
BuildCraft|Builders:machineBlock, Quarry
BuildCraft|Builders:markerBlock, Land Mark
BuildCraft|Builders:pathMarkerBlock, Path Mark
BuildCraft|Builders:constructionMarkerBlock, Construction Mark
BuildCraft|Builders:fillerBlock, Filler
BuildCraft|Builders:frameBlock, Frame
BuildCraft|Builders:builderBlock, Builder
BuildCraft|Builders:architectBlock, Architect Table
BuildCraft|Builders:libraryBlock, Electronic Library
BuildCraft|Robotics:zonePlan, Zone Planner
BuildCraft|Robotics:requester, Requester
BuildCraft|Energy:blockOil, Oil
BuildCraft|Energy:blockFuel, Fuel
BuildCraft|Energy:blockRedPlasma, tile.blockRedPlasma.name
BuildCraft|Factory:miningWellBlock, Mining Well
BuildCraft|Factory:plainPipeBlock, Mining Pipe
BuildCraft|Factory:autoWorkbenchBlock, Auto Workbench
BuildCraft|Factory:tankBlock, Tank
BuildCraft|Factory:pumpBlock, Pump
BuildCraft|Factory:floodGateBlock, Flood Gate
BuildCraft|Factory:refineryBlock, Refinery
BuildCraft|Factory:blockHopper, Chute
fodc:oreConvTable, Ore Conversion Table
fodc:oreAutoconverter, Automatic Ore Converter
minecraft:record_13, Music Disc
minecraft:record_cat, Music Disc
minecraft:record_blocks, Music Disc
minecraft:record_chirp, Music Disc
minecraft:record_far, Music Disc
minecraft:record_mall, Music Disc
minecraft:record_mellohi, Music Disc
minecraft:record_stal, Music Disc
minecraft:record_strad, Music Disc
minecraft:record_ward, Music Disc
minecraft:record_11, Music Disc
minecraft:record_wait, Music Disc
Baubles:Ring:0, Miner's Ring
Thaumcraft:WandCasting:0, Iron Capped Wooden Wand
Thaumcraft:WandCasting:9, Gold Banded Greatwood Wand
Thaumcraft:WandCasting:54, Thaumium Bossed Silverwood Wand
Thaumcraft:WandCasting:128, Thaumium Bossed Silverwood Scepter
Thaumcraft:WandCap:0, Iron Cap
Thaumcraft:WandCap:1, Gold Cap
Thaumcraft:WandCap:2, Charged Thaumium Cap
Thaumcraft:WandCap:6, Inert Thaumium Cap
Thaumcraft:WandCap:7, Charged Void metal Cap
Thaumcraft:WandCap:8, Inert Void metal Cap
Thaumcraft:WandRod:0, Greatwood Rod
Thaumcraft:WandRod:1, Obsidian Rod
Thaumcraft:WandRod:2, Silverwood Rod
Thaumcraft:WandRod:3, Icy Rod
Thaumcraft:WandRod:4, Quartz Rod
Thaumcraft:WandRod:5, Reed Rod
Thaumcraft:WandRod:6, Blazing Rod
Thaumcraft:WandRod:7, Bone Rod
Thaumcraft:WandRod:50, Greatwood Staff Core
Thaumcraft:WandRod:51, Obsidian Staff Core
Thaumcraft:WandRod:52, Silverwood Staff Core
Thaumcraft:WandRod:53, Icy Staff Core
Thaumcraft:WandRod:54, Quartz Staff Core
Thaumcraft:WandRod:55, Reed Staff Core
Thaumcraft:WandRod:56, Blazing Staff Core
Thaumcraft:WandRod:57, Bone Staff Core
Thaumcraft:WandRod:100, Staff Core of the Primal
Thaumcraft:FocusPouch, Focus Pouch
Thaumcraft:FocusFire, Wand Focus: Fire
Thaumcraft:FocusShock, Wand Focus: Shock
Thaumcraft:FocusHellbat, Wand Focus: Nine Hells
Thaumcraft:FocusFrost, Wand Focus: Frost
Thaumcraft:FocusTrade, Wand Focus: Equal Trade 
Thaumcraft:FocusExcavation, Wand Focus: Excavation
Thaumcraft:FocusPortableHole, Wand Focus: Portable Hole
Thaumcraft:FocusPech, Wand Focus: Pech's Curse
Thaumcraft:FocusWarding, Wand Focus: Warding
Thaumcraft:FocusPrimal, Wand Focus: Primal
Thaumcraft:ItemEssence:0, Glass Phial
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemManaBean:0, Mana Bean
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemResource:0, Alumentum
Thaumcraft:ItemResource:1, Nitor
Thaumcraft:ItemResource:2, Thaumium Ingot
Thaumcraft:ItemResource:3, Quicksilver
Thaumcraft:ItemResource:4, Magic Tallow
Thaumcraft:ItemResource:6, Amber
Thaumcraft:ItemResource:7, Enchanted Fabric
Thaumcraft:ItemResource:8, Vis Filter
Thaumcraft:ItemResource:9, Knowledge Fragment
Thaumcraft:ItemResource:10, Mirrored Glass
Thaumcraft:ItemResource:11, Tainted Goo
Thaumcraft:ItemResource:12, Taint Tendril
Thaumcraft:ItemResource:13, Jar Label
Thaumcraft:ItemResource:14, Salis Mundus
Thaumcraft:ItemResource:15, Primal Charm
Thaumcraft:ItemResource:16, Void metal Ingot
Thaumcraft:ItemResource:17, Void Seed
Thaumcraft:ItemResource:18, Gold Coin
Thaumcraft:ItemShard:0, Air Shard
Thaumcraft:ItemShard:1, Fire Shard
Thaumcraft:ItemShard:2, Water Shard
Thaumcraft:ItemShard:3, Earth Shard
Thaumcraft:ItemShard:4, Order Shard
Thaumcraft:ItemShard:5, Entropy Shard
Thaumcraft:ItemShard:6, Balanced Shard
Thaumcraft:ItemResearchNotes:0, Research Notes
Thaumcraft:ItemInkwell, Scribing Tools
Thaumcraft:ItemThaumonomicon:0, Thaumonomicon
Thaumcraft:ItemThaumometer, Thaumometer
Thaumcraft:ItemGoggles, Goggles of Revealing
Thaumcraft:ItemHelmetThaumium, Thaumium Helm
Thaumcraft:ItemChestplateThaumium, Thaumium Chestplate
Thaumcraft:ItemLeggingsThaumium, Thaumium Leggings
Thaumcraft:ItemBootsThaumium, Thaumium Boots
Thaumcraft:ItemShovelThaumium, Thaumium Shovel
Thaumcraft:ItemPickThaumium, Thaumium Pickaxe
Thaumcraft:ItemAxeThaumium, Thaumium Axe
Thaumcraft:ItemSwordThaumium, Thaumium Sword
Thaumcraft:ItemHoeThaumium, Thaumium Hoe
Thaumcraft:ItemArcaneDoor, Arcane Door
Thaumcraft:ItemNugget:0, Iron Nugget
Thaumcraft:ItemNugget:5, Quicksilver Drop
Thaumcraft:ItemNugget:21, Native Cinnabar Cluster
Thaumcraft:ItemNugget:6, Thaumium Nugget
Thaumcraft:ItemNugget:7, Void metal Nugget
Thaumcraft:ItemNugget:16, Native Iron Cluster
Thaumcraft:ItemNugget:31, Native Gold Cluster
Thaumcraft:BootsTraveller, Boots of the Traveler
Thaumcraft:ItemNuggetChicken, Chicken Nugget
Thaumcraft:ItemNuggetBeef, Beef Nugget
Thaumcraft:ItemNuggetPork, Pork Nugget
Thaumcraft:ItemNuggetFish, Fish Nugget
Thaumcraft:TripleMeatTreat, Triple Meat Treat
Thaumcraft:ItemSwordElemental, Sword of the Zephyr
Thaumcraft:ItemShovelElemental, Shovel of the Earthmover
Thaumcraft:ItemPickaxeElemental, Pickaxe of the Core
Thaumcraft:ItemAxeElemental, Axe of the Stream
Thaumcraft:ItemHoeElemental, Hoe of Growth
Thaumcraft:ItemChestplateRobe, Thaumaturge's Robe
Thaumcraft:ItemLeggingsRobe, Thaumaturge's Leggings
Thaumcraft:ItemBootsRobe, Thaumaturge's Boots
Thaumcraft:ArcaneDoorKey:0, Iron Arcane Key
Thaumcraft:ArcaneDoorKey:1, Gold Arcane Key
Thaumcraft:HandMirror, Magic Hand Mirror
Thaumcraft:HoverHarness, Thaumostatic Harness
Thaumcraft:BlockJarFilledItem, Jar of Essentia
Thaumcraft:BlockJarNodeItem, Node in a Jar
Thaumcraft:TrunkSpawner:0, Traveling Trunk
Thaumcraft:ItemGolemPlacer:0, Straw Golem
Thaumcraft:ItemGolemPlacer:1, Wood Golem
Thaumcraft:ItemGolemPlacer:2, Tallow Golem
Thaumcraft:ItemGolemPlacer:3, Clay Golem
Thaumcraft:ItemGolemPlacer:4, Flesh Golem
Thaumcraft:ItemGolemPlacer:5, Stone Golem
Thaumcraft:ItemGolemPlacer:6, Iron Golem
Thaumcraft:ItemGolemPlacer:7, Thaumium Golem
Thaumcraft:ItemGolemCore:100, Golem Animation Core
Thaumcraft:ItemGolemCore:0, Golem Animation Core
Thaumcraft:ItemGolemCore:1, Golem Animation Core
Thaumcraft:ItemGolemCore:2, Golem Animation Core
Thaumcraft:ItemGolemCore:3, Golem Animation Core
Thaumcraft:ItemGolemCore:4, Golem Animation Core
Thaumcraft:ItemGolemCore:5, Golem Animation Core
Thaumcraft:ItemGolemCore:6, Golem Animation Core
Thaumcraft:ItemGolemCore:7, Golem Animation Core
Thaumcraft:ItemGolemCore:8, Golem Animation Core
Thaumcraft:ItemGolemCore:9, Golem Animation Core
Thaumcraft:ItemGolemCore:10, Golem Animation Core
Thaumcraft:ItemGolemCore:11, Golem Animation Core
Thaumcraft:ItemGolemUpgrade:0, Golem Upgrade: Air
Thaumcraft:ItemGolemUpgrade:1, Golem Upgrade: Earth
Thaumcraft:ItemGolemUpgrade:2, Golem Upgrade: Fire
Thaumcraft:ItemGolemUpgrade:3, Golem Upgrade: Water
Thaumcraft:ItemGolemUpgrade:4, Golem Upgrade: Order
Thaumcraft:ItemGolemUpgrade:5, Golem Upgrade: Entropy
Thaumcraft:GolemBell, Golemancer's Bell
Thaumcraft:ItemGolemDecoration:0, Accessory: Top Hat
Thaumcraft:ItemGolemDecoration:1, Accessory: Spectacles
Thaumcraft:ItemGolemDecoration:2, Accessory: Bowtie
Thaumcraft:ItemGolemDecoration:3, Accessory: Fez
Thaumcraft:ItemGolemDecoration:4, Accessory: Dart Launcher
Thaumcraft:ItemGolemDecoration:5, Accessory: Visor
Thaumcraft:ItemGolemDecoration:6, Accessory: Iron Plating
Thaumcraft:ItemGolemDecoration:7, Accessory: Mace Arm
Thaumcraft:ItemBowBone, Bow of Bone
Thaumcraft:PrimalArrow:0, Air Arrow
Thaumcraft:PrimalArrow:1, Fire Arrow
Thaumcraft:PrimalArrow:2, Water Arrow
Thaumcraft:PrimalArrow:3, Earth Arrow
Thaumcraft:PrimalArrow:4, Order Arrow
Thaumcraft:PrimalArrow:5, Entropy Arrow
Thaumcraft:ItemResonator, Essentia Resonator
Thaumcraft:ItemBaubleBlanks:0, Mundane Amulet
Thaumcraft:ItemBaubleBlanks:1, Mundane Ring
Thaumcraft:ItemBaubleBlanks:2, Mundane Belt
Thaumcraft:ItemAmuletRunic:0, Amulet of Runic Shielding
Thaumcraft:ItemAmuletRunic:1, Amulet of Emergency Shielding
Thaumcraft:ItemRingRunic:0, Ring of Protection
Thaumcraft:ItemRingRunic:1, Ring of Runic Shielding
Thaumcraft:ItemRingRunic:2, Charged Ring of Shielding
Thaumcraft:ItemRingRunic:3, Revitalizing Ring of Shielding
Thaumcraft:ItemGirdleRunic:0, Girdle of Runic Shielding
Thaumcraft:ItemGirdleRunic:1, Kinetic Girdle of Shielding
Thaumcraft:ItemAmuletVis:0, Vis Stone
Thaumcraft:ItemAmuletVis:1, Amulet of Vis Storage
Thaumcraft:ItemGirdleHover:0, Thaumostatic Girdle
Thaumcraft:ItemSpawnerEgg:0, Spawn Angry Zombie
Thaumcraft:ItemSpawnerEgg:1, Spawn Furious Zombie
Thaumcraft:ItemSpawnerEgg:2, Spawn Wisp
Thaumcraft:ItemSpawnerEgg:3, Spawn Firebat
Thaumcraft:ItemSpawnerEgg:4, Spawn Pech Forager
Thaumcraft:ItemSpawnerEgg:5, Spawn Mind Spider
Thaumcraft:ItemSpawnerEgg:6, Spawn Eldritch Guardian
Thaumcraft:ItemSpawnerEgg:7, Spawn %s the %s
Thaumcraft:ItemSpawnerEgg:8, Spawn Crimson Knight
Thaumcraft:ItemSpawnerEgg:9, Spawn Crimson Cleric
Thaumcraft:ItemSpawnerEgg:10, Spawn Praetor %s the %s
Thaumcraft:ItemSpawnerEgg:11, Spawn Crimson Portal
Thaumcraft:ItemSpawnerEgg:12, Spawn %s Eldritch Construct
Thaumcraft:ItemSpawnerEgg:13, Spawn Eldritch Crab
Thaumcraft:ItemSpawnerEgg:14, Spawn Shambling Husk
Thaumcraft:ItemSpawnerEgg:15, Spawn Thaumic Slime
Thaumcraft:ItemSpawnerEgg:16, Spawn Tainted Crawler
Thaumcraft:ItemSpawnerEgg:17, Spawn Taintacle
Thaumcraft:ItemSpawnerEgg:18, Spawn Taint Tendril
Thaumcraft:ItemSpawnerEgg:19, Spawn Taint Spore
Thaumcraft:ItemSpawnerEgg:20, Spawn Taint Spore Swarmer
Thaumcraft:ItemSpawnerEgg:21, Spawn Taint Swarm
Thaumcraft:ItemSpawnerEgg:22, Spawn Tainted Chicken
Thaumcraft:ItemSpawnerEgg:23, Spawn Tainted Cow
Thaumcraft:ItemSpawnerEgg:24, Spawn Tainted Creeper
Thaumcraft:ItemSpawnerEgg:25, Spawn Tainted Pig
Thaumcraft:ItemSpawnerEgg:26, Spawn Tainted Sheep
Thaumcraft:ItemSpawnerEgg:27, Spawn Tainted Villager
Thaumcraft:ItemSpawnerEgg:28, Spawn Giant Taintacle
Thaumcraft:ItemZombieBrain, Zombie Brain
Thaumcraft:ItemBathSalts, Purifying Bath Salts
Thaumcraft:ItemCrystalEssence:0, Crystallized Essence
Thaumcraft:ItemBucketDeath, Bucket of Liquid Death
Thaumcraft:ItemBucketPure, Bucket of Purifying Fluid
Thaumcraft:ItemHelmetFortress, Thaumium Fortress Helm
Thaumcraft:ItemChestplateFortress, Thaumium Fortress Cuirass
Thaumcraft:ItemLeggingsFortress, Thaumium Fortress Thigh Guards
Thaumcraft:ItemEldritchObject:0, Eldritch Eye
Thaumcraft:ItemEldritchObject:1, Crimson Rites
Thaumcraft:ItemEldritchObject:2, Runed Tablet
Thaumcraft:ItemEldritchObject:3, Primordial Pearl
Thaumcraft:ItemEldritchObject:4, Eldritch Obelisk Placer
Thaumcraft:ItemHelmetVoid, Void Helm
Thaumcraft:ItemChestplateVoid, Void Chestplate
Thaumcraft:ItemLeggingsVoid, Void Leggings
Thaumcraft:ItemBootsVoid, Void Boots
Thaumcraft:ItemShovelVoid, Void Shovel
Thaumcraft:ItemPickVoid, Void Pickaxe
Thaumcraft:ItemAxeVoid, Void Axe
Thaumcraft:ItemSwordVoid, Void Sword
Thaumcraft:ItemHoeVoid, Void Hoe
